category_id,category_title,category_path
13066,Запчасти для смартфонов,1.10020.10044.10398.13066
12287,Столовые приборы одноразовые,1.10018.10115.10282.12287
11665,Софтбоксы,1.10020.10180.11254.11665
12506,Уход и защита,1.10020.10180.11254.12506
12436,Орехоколы,1.10018.10115.11215.12436
11764,Тюли и гардины,1.10018.10049.10262.11764
11620,Фотобарабаны,1.10020.10086.11168.11620
14110,Управление для умного дома,1.10020.10226.10666.14110
12543,Считыватели,1.10020.10226.10915.12543
13693,Наборы посуды для суши,1.10018.10115.10289.13693
11763,Гелий в баллоне,1.10018.10118.10934.11763
12697,Молотки для мяса,1.10018.10115.10890.12697
12942,Стики для тела,1.10012.10070.10918.12942
13211,Playstation,1.10020.10186.11140.13211
14207,Свет для фотостудии,1.10020.10180.11254.14207
13399,Иглы для головок звукоснимателей,1.10020.10144.11495.13399
14095,Мусорные ведра и баки,1.10018.10110.14095
10508,Новогодние товары,1.10018.10118.10508
2690,Наборы для маникюра и педикюра,1.10012.10163.2690
10922,Винные аксессуары,1.10018.10115.10922
10012,   Красота,1.10012
11542,Сплиттеры,1.10020.10074.11350.11542
13530,Корректоры и консилеры,1.10012.10091.11292.13530
13100,Зарядные устройства для ноутбуков,1.10020.10030.10487.13100
10118,Товары для праздников,1.10018.10118
14136,Сумки и рюкзаки,1.10020.10180.10765.14136
13976,Запчасти для ноутбуков,1.10020.10030.10487.13976
12773,Осветители и вспышки,1.10020.10044.10398.12773
12943,Топперы для торта,1.10018.10118.10934.12943
13378,Точки доступа,1.10020.10074.11350.13378
13535,Средства для солярия,1.10012.10070.10626.13535
12198,Вспениватели молока,1.10018.10115.10890.12198
11897,Пульты дистанционного управления,1.10020.10180.10765.11897
13433,Подставки и крепления для растений,1.10018.10058.13433
13733,Проводные телефоны,1.10020.10044.13733
2729,Консервные ножи и открывашки,1.10018.10115.10890.2729
12797,Ароматизаторы кухонные,1.10018.10115.11120.12797
12439,Тональные средства,1.10012.10091.11292.12439
13962,Беспроводные адаптеры,1.10020.10186.10646.13962
12630,Пакеты и мешочки,1.10018.10118.11163.12630
10586,Термосы и термокружки,1.10018.10115.10586
11647,Средства для снятия макияжа,1.10012.10137.10751.11647
13534,Карнавальные товары,1.10018.10118.13534
13306,Моноподы для селфи,1.10020.10180.10765.13306
11733,Сменные картриджы для фильтров-кувшинов,1.10018.10115.10504.11733
13000,Муляжи камер видеонаблюдения,1.10020.10226.10950.13000
14266,Системы видеонаблюдения,1.10020.10226.10950.14266
13230,Зажигалки кухонные,1.10018.10115.11120.13230
14230,Детские ножницы,1.10012.10232.14230
2732,Доски гладильные и чехлы,1.10018.10110.12823.2732
12767,Товары для ухода,1.10020.10144.11495.12767
14251,Туши для ресниц,1.10012.10091.10968.14251
13540,Вакуумные насосы,1.10018.10115.10992.13540
11756,Преобразователи напряжения,1.10020.10073.11756
10805,Кухонный текстиль,1.10018.10049.10805
13490,Светофильтры,1.10020.10180.10765.13490
14000,Контроллеры интерфейсов,1.10020.10074.10641.14000
13728,Пудра для умывания,1.10012.10137.10751.13728
12113,Игровые наушники,1.10020.10186.10695.12113
12274,Воск,1.10012.10165.10317.12274
10115,Товары для кухни,1.10018.10115
12488,Детское постельное бельё,1.10018.10049.10858.12488
13995,Гель-лаки,1.10012.10113.13995
13919,Аквабоксы,1.10020.10180.10765.13919
12529,Лейки и опрыскиватели,1.10018.10058.12529
11239,Профессиональные инструменты парикмахера,1.10012.10165.11239
12405,Сыворотки,1.10012.10137.10648.12405
13362,Коннекторы,1.10020.10073.13362
2727,Коробки и контейнеры,1.10018.10115.10282.2727
13605,Парфюмированный набор,1.10012.10163.13605
14196,Лотки для столовых приборов,1.10018.10115.10390.14196
12175,Стекломои и скребки,1.10018.10110.10559.12175
12609,Чехлы для пультов ДУ,1.10020.10129.11384.12609
11449,Аксессуары,1.10012.10165.11449
13170,Рейлинг,1.10018.10115.10390.13170
10622,Столовые приборы,1.10018.10115.10622
12952,Беспроводные зарядные устройства,1.10020.10044.11281.12952
12326,Скороварки,1.10018.10115.11390.12326
12928,Сценическое оборудование и свет,1.10020.10144.11495.12928
11543,Ленты печатающие,1.10020.10086.11138.11543
12358,Самовары,1.10018.10115.11519.12358
12902,Подставки для ёлки,1.10018.10118.10508.12902
12494,Чистящие средства,1.10020.10086.11138.12494
13542,Атомайзеры,1.10012.10084.13542
12273,Электронные будильники,1.10020.10227.12273
13978,Тонеры,1.10020.10086.11168.13978
11722,Антижучки,1.10020.10226.10915.11722
12713,Аксессуары,1.10018.10049.10262.12713
12936,Сырорезки,1.10018.10115.11215.12936
12635,Аккумуляторы,1.10020.10180.10765.12635
13135,Соусники,1.10018.10115.10289.13135
12249,Игры,1.10020.10186.12249
13959,Проекционные экраны,1.10020.10129.10335.13959
13623,Монтажные коробки,1.10020.10226.10950.13623
14165,Яйцерезки,1.10018.10115.11215.14165
11765,Картриджи для 3D ручек,1.10020.10086.11168.11765
2745,Сиденье на унитаз,1.10018.10110.12842.2745
13892,Муссы и пенки,1.10012.10165.10317.13892
12161,Трафареты для выпечки,1.10018.10115.11092.12161
14149,Полки кухонные,1.10018.10115.10390.14149
2726,Зубочистки,1.10018.10115.10282.2726
10890,Кухонные инструменты,1.10018.10115.10890
13488,Фотоаппараты мгновенной печати,1.10020.10180.11268.13488
12184,Твердые чернила,1.10020.10086.11138.12184
2680,Расчески,1.10012.10169.10826.2680
13559,Подушки для беременных,1.10018.10049.10770.13559
12106,Оборудование для брожения,1.10018.10115.11129.12106
12340,Футляры и пеналы,1.10012.10091.11328.12340
10992,Хранение продуктов,1.10018.10115.10992
11129,Приготовление алкоголя,1.10018.10115.11129
12318,Датчики для охранных систем,1.10020.10226.10915.12318
12615,Универсальные зарядные устройства,1.10020.10044.11281.12615
13286,Хна,1.10012.10165.11285.13286
13154,Xbox,1.10020.10186.11140.13154
2731,"Сушилки, веревки бельевые",1.10018.10110.12823.2731
13059,Эликсиры для лица,1.10012.10137.10648.13059
12638,Пододеяльники,1.10018.10049.10858.12638
2678,Сыворотка для волос,1.10012.10169.13817.2678
12510,Щетки для сухого массажа,1.10012.10070.11370.12510
12707,Шкуры,1.10018.10049.11099.12707
13036,ИБП и аксессуары,1.10020.10074.11350.13036
13945,Электронные замки,1.10020.10226.10915.13945
13824,Краски,1.10012.10165.11285.13824
12244,Соковарки и вареньеварки,1.10018.10115.11390.12244
2750,Парики и аксессуары,1.10018.10118.13534.2750
12176,Горшки и кашпо,1.10018.10058.12176
12703,Hi-Res плееры,1.10020.10144.10374.12703
13238,Процессоры,1.10020.10074.10641.13238
12107,Ресиверы,1.10020.10144.10571.12107
14158,Щетки и сметки,1.10018.10110.10559.14158
11967,Вантузы и тросы,1.10018.10110.10559.11967
13254,Принадлежности для мытья посуды,1.10018.10115.10390.13254
13830,Трекболы,1.10020.10074.10526.13830
13988,Регистраторы,1.10020.10226.10950.13988
12032,Фены и насадки,1.10012.10094.11291.12032
12367,Фиксаторы макияжа,1.10012.10091.11292.12367
10826,Для бороды и усов,1.10012.10169.10826
11638,Студийное оборудование,1.10020.10144.11495.11638
13196,Тату-наборы,1.10012.10185.13196
12920,Гели для душа,1.10012.10169.10447.12920
14106,Усилители сотового сигнала,1.10020.10074.11350.14106
12517,"Наборы, ингридиенты для приготовления алкоголя",1.10018.10115.11129.12517
13727,Подушки для сна,1.10018.10049.10770.13727
13493,Соковыжималки,1.10018.10115.11215.13493
2672,Маски для ног,1.10012.10070.10918.2672
2897,Стулья и табуретки,1.10018.2894.2897
10185,Оборудование и материалы для тату-салона,1.10012.10185
13235,Аудио конвертеры,1.10020.10144.10571.13235
13404,Мадлеры,1.10018.10115.11097.13404
13951,Матирующие салфетки,1.10012.10137.11245.13951
11015,Брови,1.10012.10091.11015
12430,Диктофоны,1.10020.10144.10374.12430
11862,Рекордеры,1.10020.10144.10374.11862
11655,Наборы косметики для ухода за телом,1.10012.10163.11655
2662,Глина,1.10012.10137.10476.2662
12179,Кремеры и баллоны,1.10018.10115.11092.12179
13042,Инструменты для пирсинга,1.10012.10185.13042
12980,Беспроводные наушники,1.10020.10144.11157.12980
12514,Чехлы для наушников,1.10020.10144.11157.12514
14081,Электробритвы,1.10012.10094.14081
13469,"Казаны, жаровни и тажины",1.10018.10115.11390.13469
12362,Крепления,1.10020.10129.10335.12362
12863,Стаканы,1.10018.10115.10545.12863
2738,Коврики резиновые,1.10018.10110.12842.2738
11917,Очки виртуальной реальности,1.10020.10186.10695.11917
14030,Ножи кухонные,1.10018.10115.10890.14030
12802,Картриджи для фото,1.10020.10180.11254.12802
13322,Сковороды,1.10018.10115.11390.13322
13925,Беззеркальные фотоаппараты,1.10020.10180.11268.13925
13315,Аэраторы для вина,1.10018.10115.10922.13315
11603,Машинки для стрижки,1.10012.10094.11333.11603
12466,BB и DD кремы,1.10012.10091.11292.12466
11717,Sim-карты,1.10020.10044.11717
12762,Предусилители,1.10020.10144.10571.12762
10858,Постельное белье,1.10018.10049.10858
12811,Зеркала,1.10018.10191.12811
13508,DSL модемы и трансиверы,1.10020.10074.11350.13508
10918,Увлажнение и питание,1.10012.10070.10918
11985,Персональные сигнализации,1.10020.10226.10915.11985
13153,Защитные пленки,1.10020.10186.10646.13153
12817,Системы нагревания,1.10020.10197.12817
12210,"Упаковочная бумага, бирки и ленты",1.10018.10118.11163.12210
12338,Формы для льда,1.10018.10115.10651.12338
13750,Каплеуловители для вина,1.10018.10115.10922.13750
12245,Антивибрационные подставки,1.10020.10144.10571.12245
13836,Умные гаджеты,1.10020.10141.13836
11961,Коврики для намаза,1.10018.10049.11099.11961
13207,Подушки и наволочки декоративные,1.10018.10049.10770.13207
13548,Девелоперы,1.10020.10086.11138.13548
13568,Ритуальные товары,1.10018.10191.13568
13222,Системные блоки,1.10020.10074.11442.13222
12740,Гели и муссы,1.10012.10070.10918.12740
13936,Держатели для фотооборудования,1.10020.10180.11254.13936
12481,Простыни,1.10018.10049.10858.12481
12646,Подставки для зубочисток,1.10018.10115.10390.12646
11648,Фрукто-овощерезки,1.10018.10115.11215.11648
14072,Инструменты для постижа,1.10012.10165.11239.14072
11637,Тарелки,1.10018.10115.10377.11637
12036,Переходные кольца/адаптеры для объективов,1.10020.10180.10765.12036
12648,Парфюмерная вода,1.10012.10084.12648
11291,Укладка волос,1.10012.10094.11291
2631,Спонжи и аппликаторы,1.10012.10091.11328.2631
13788,Запчасти,1.10020.10186.10646.13788
12588,Ситечки для заварки,1.10018.10115.11519.12588
12477,"Подводки для глаз, контур",1.10012.10091.10968.12477
10232,Детям и беременным,1.10012.10232
13113,Фотошторы,1.10018.10049.10262.13113
14105,Молочко косметическое,1.10012.10137.10751.14105
2684,Кремы для тела,1.10012.10169.10447.2684
12746,Лестницы,1.10018.10110.12746
14042,Скраб,1.10012.10137.11245.14042
11713,Товары для чая матча,1.10018.10115.11097.11713
12143,Спреи,1.10012.10165.10317.12143
13638,Наборы насадок,1.10012.10094.11333.13638
11636,Анатомические подушки,1.10018.10049.10770.11636
14153,Салфетницы,1.10018.10115.10289.14153
14221,Мешки для мусора,1.10018.10110.10559.14221
13787,Наборы столового белья,1.10018.10049.10805.13787
12100,Пульты ДУ,1.10020.10129.10908.12100
12844,Крышки для объектива,1.10020.10180.10765.12844
13414,Тарелки одноразовые,1.10018.10115.10282.13414
13552,Наращивание и ламинирование ресниц,1.10012.10091.10968.13552
13277,Свадебные товары,1.10018.10118.13277
14036,Точилки для ножей,1.10018.10115.10890.14036
12923,Термопленки,1.10020.10086.11168.12923
14066,Системы непрерывной подачи чернил,1.10020.10086.11168.14066
2800,Зарядные устройства для планшетов и электронных книг,1.10020.10030.10487.2800
12102,Шейкеры для напитков,1.10018.10115.11097.12102
13853,Усилители для наушников,1.10020.10144.11157.13853
13328,Фотобутафория,1.10018.10118.10934.13328
11778,Подушки на стул,1.10018.10049.10770.11778
10018,   Товары для дома,1.10018
12961,Веники для бань,1.10018.10184.12961
12997,Пульты для презентаций,1.10020.10129.10335.12997
14227,Молоковарки,1.10018.10115.11390.14227
12750,Ведра и кадки,1.10018.10184.12750
13035,Аксессуары,1.10020.10205.13035
13150,Закаточные машинки,1.10018.10115.11505.13150
13297,Пакеты и мешочки многоразовые,1.10018.10115.10992.13297
11686,Пробки,1.10018.10115.11097.11686
13073,Системы охлаждения для компьютеров,1.10020.10074.10641.13073
12209,Средства для купания,1.10012.10232.12209
12971,Совки для сыпучих продуктов,1.10018.10115.10992.12971
13844,Аккумуляторы и зарядки,1.10020.10186.10646.13844
12185,Выпрямители для волос,1.10012.10094.11291.12185
2751,Аквагрим,1.10018.10118.13534.2751
14235,Коврики для мыши,1.10020.10074.10526.14235
10184,Товары для бани и сауны,1.10018.10184
14244,Румяна и бронзеры,1.10012.10091.11292.14244
14215,Антенны для цифрового ТВ,1.10020.10129.10908.14215
12674,Полотенца кухонные,1.10018.10049.10805.12674
11099,Ковры и ковровые дорожки,1.10018.10049.11099
10163,Наборы,1.10012.10163
12094,Автоматика для ворот,1.10020.10226.10950.12094
11581,"Держатели, подставки и подносы",1.10018.10191.11581
12726,Китайские фонарики,1.10018.10118.10934.12726
12309,Наматрасники и чехлы для матрасов,1.10018.10049.11376.12309
12223,Наборы для вина,1.10018.10115.10922.12223
10934,Оформление праздника,1.10018.10118.10934
11986,Детские маникюрные наборы,1.10012.10232.11986
14062,Флюиды,1.10012.10137.10648.14062
12761,Бальзамы и кондиционеры,1.10012.10165.10705.12761
13479,Пивоварение,1.10018.10115.11129.13479
10070,Уход за телом,1.10012.10070
12341,Инструменты косметологические,1.10012.10137.10751.12341
12483,Одеяла,1.10018.10049.12483
12262,Радиоприемники,1.10020.10144.10374.12262
13901,Емкости для специй и мельницы,1.10018.10115.10992.13901
12382,Очки виртуальной реальности,1.10020.10044.10398.12382
10058,Товары для комнатных растений,1.10018.10058
14003,Ароматы для дома,1.10018.10191.14003
13658,Компьютерная акустика,1.10020.10144.10374.13658
13812,Солнцезащитные средства,1.10012.10070.10626.13812
13139,Кремы,1.10012.10137.11245.13139
13231,Ламинирование,1.10012.10165.11285.13231
14269,Шнурки,1.10020.10044.10398.14269
13217,Саундбары,1.10020.10144.10374.13217
14064,Подстаканники,1.10018.10115.10545.14064
12170,Ремни для фотокамер,1.10020.10180.10765.12170
12665,Чехлы и кейсы,1.10020.10180.10765.12665
11533,"Фольга , пленка, рукава для запекания",1.10018.10115.10992.11533
11848,Квадрокоптеры,1.10020.10205.11848
13224,Окуляры,1.10020.10150.13224
12941,Майнеры и кошельки для криптовалют,1.10020.10074.11087.12941
10751,Очищение и умывание,1.10012.10137.10751
13781,"Масленки, сырницы и лимонницы",1.10018.10115.10289.13781
12226,Аксессуары для умного дома,1.10020.10226.10666.12226
12010,Шайки и ушаты,1.10018.10184.12010
14028,Сухие и твердые шампуни,1.10012.10165.10705.14028
12730,Праздничный декор,1.10018.10118.10934.12730
13332,Аксессуары,1.10012.10094.11333.13332
12148,Ламинаторы и брошюровщики,1.10020.10086.11266.12148
2742,"Мыльницы, стаканы",1.10018.10110.12842.2742
12759,Дождевые козырьки,1.10020.10226.10950.12759
11906,Фены-щетки и термощетки,1.10012.10094.11291.11906
2806,Театральные бинокли,1.10020.10150.2806
10113,Маникюр и педикюр,1.10012.10113
11922,Проекционные часы,1.10020.10227.11922
13200,Фотозонты,1.10020.10180.11254.13200
12907,Зажимы кухонные,1.10018.10115.11120.12907
14018,Ступки с пестиком,1.10018.10115.11215.14018
10968,Глаза,1.10012.10091.10968
11767,Объективы,1.10020.10180.10765.11767
13554,Формы для выпечки,1.10018.10115.11092.13554
12589,Триммеры для волос,1.10012.10094.11333.12589
10651,Формы для приготовления,1.10018.10115.10651
11390,Посуда для приготовления,1.10018.10115.11390
10169,Для мужчин,1.10012.10169
13799,Полотенца,1.10018.10049.13799
13096,"Флюиды, эликсиры, эссенции",1.10012.10137.11245.13096
13938,Зеркала косметические,1.10012.10091.11328.13938
12365,Акустические системы,1.10020.10144.10374.12365
12542,Модули для охранных систем,1.10020.10226.10915.12542
2805,Картридеры,1.10020.10074.11087.2805
12409,Тоники,1.10012.10137.10648.12409
11864,Антенны,1.10020.10129.10908.11864
13560,Удаление краски с кожи,1.10012.10165.11285.13560
13199,Лопатки кулинарные,1.10018.10115.10890.13199
11565,Аксессуары для экшн камер,1.10020.10180.10765.11565
12085,Наволочки,1.10018.10049.10858.12085
13116,Шампуни,1.10012.10169.10826.13116
11519,Чайники и кофейники,1.10018.10115.11519
13765,Оборудование для приготовления алкоголя,1.10018.10115.11129.13765
13215,Римские и рулонные шторы,1.10018.10049.10262.13215
12769,Насосы для шариков,1.10018.10118.10934.12769
11731,Товары к Пасхе,1.10018.10118.11731
11619,Формы для мороженого,1.10018.10115.10651.11619
11970,Солнечные панели и батареи,1.10020.10073.11970
11753,Варежки для парафинотерапии,1.10012.10070.11370.11753
11732,Корзины для цветов,1.10018.10058.11732
14065,Зарядные устройства для аккумуляторов,1.10020.10073.14065
14243,Защитные коврики для пола,1.10018.10049.11099.14243
13187,Мыши,1.10020.10074.10526.13187
12524,Скатерти и подставки под горячее,1.10018.10115.11120.12524
13956,Картины и панно,1.10018.10191.13956
2746,Пробки для ванны и раковины,1.10018.10110.12842.2746
11622,Кувшины и графины,1.10018.10115.10289.11622
13325,Устройства измерения крепости,1.10018.10115.11129.13325
12238,Чехлы для одежды,1.10018.10219.12238
12114,Наборы для макияжа,1.10012.10163.12114
12097,Масло гидрофильное,1.10012.10137.10751.12097
12569,Ножницы кухонные,1.10018.10115.10890.12569
13880,Массажеры для лица и тела,1.10012.10094.11027.13880
12771,Подставки для чайных пакетиков,1.10018.10115.11519.12771
12687,Усилители мощности,1.10020.10144.10571.12687
12218,Термозащитные коврики,1.10012.10165.11239.12218
13358,Комплекты постельного белья,1.10018.10049.10858.13358
12693,Модемы и мосты,1.10020.10074.11350.12693
13051,Стабилизаторы,1.10020.10044.10398.13051
11596,Детские косметические средства,1.10012.10232.11596
12315,Зажимы и расчески для ресниц,1.10012.10091.11328.12315
12492,Кожухи для камер видеонаблюдения,1.10020.10226.10950.12492
11593,Крем для тела,1.10012.10232.11593
13615,Стаканы и чашки одноразовые,1.10018.10115.10282.13615
14206,СКУД,1.10020.10226.10915.14206
12649,Бумага для выпечки,1.10018.10115.11092.12649
13795,"Мешки, шприцы и насадки",1.10018.10115.11092.13795
13104,Формы для пельменей,1.10018.10115.10651.13104
12082,Подставки и держатели,1.10018.10115.10390.12082
11902,Скалки,1.10018.10115.11092.11902
12276,Крем для ухода за кожей,1.10012.10070.11438.12276
12396,ИК-приемники,1.10020.10129.10908.12396
11568,Покрывала,1.10018.10049.10483.11568
2686,"Эмульсия, флюид",1.10012.10169.10447.2686
14271,"Термальная вода, тоники и спреи",1.10012.10070.10918.14271
12964,Аккумуляторные батарейки,1.10020.10073.12964
13236,Игровые рули и педали,1.10020.10186.10695.13236
13376,Стилусы,1.10020.10030.10487.13376
11977,Стабилизаторы,1.10020.10180.11254.11977
13667,Сумки-тележки,1.10018.10110.13667
11618,Бленды для объектива,1.10020.10180.10765.11618
11695,Сифоны для газирования,1.10018.10115.11097.11695
13756,Вода для расчесывания,1.10012.10165.10317.13756
14109,Аккумуляторы для рации,1.10020.10073.14109
12641,Конфетти и серпантин,1.10018.10118.10934.12641
13234,Полки и скамьи,1.10018.10184.13234
13337,Напальчники и накладки,1.10020.10186.10646.13337
12823,Уход за одеждой и обувью,1.10018.10110.12823
11658,Коврики придверные,1.10018.10049.11099.11658
13052,GPS-трекеры и GPS-маяки,1.10020.10176.13052
2733,Ролики для чистки одежды,1.10018.10110.12823.2733
11819,Молочко,1.10012.10137.11245.11819
12790,Устройства для хранения паролей,1.10020.10074.11087.12790
13477,Блеск,1.10012.10165.10317.13477
12270,Игровые мыши,1.10020.10186.10695.12270
13281,Праймеры для век,1.10012.10091.10968.13281
13145,Массажные масла,1.10012.10070.10918.13145
12406,Комплекты спутникового ТВ,1.10020.10129.10908.12406
12454,Дизайн ногтей,1.10012.10113.12454
13049,"Карандаши для глаз, контур",1.10012.10091.10968.13049
2741,"Диспенсеры, дозаторы",1.10018.10110.12842.2741
14113,Кремы для ног,1.10012.10070.10918.14113
2681,Бальзамы,1.10012.10169.10826.2681
14262,Кнопочные телефоны,1.10020.10044.14262
10084,Парфюмерия,1.10012.10084
12308,Парикмахерские принадлежности,1.10012.10165.11239.12308
10110,Хозяйственные товары,1.10018.10110
13020,Разбавители лаков,1.10012.10113.13020
11762,Емкости для жидкостей,1.10018.10115.10992.11762
13674,Контейнеры и ланч-боксы,1.10018.10115.10992.13674
12526,Косметологические аппараты,1.10012.10094.11027.12526
14259,Внешние оптические приводы,1.10020.10074.11350.14259
2632,Пинцеты,1.10012.10091.11328.2632
13604,Наборы средств для лица,1.10012.10163.13604
13304,Детские фотоаппараты,1.10020.10180.11268.13304
13939,3G/4G роутеры,1.10020.10074.11350.13939
14096,Кремы,1.10012.10165.10705.14096
13738,Детское молочко,1.10012.10232.13738
12327,Игровые клавиатуры,1.10020.10186.10695.12327
11960,Шапочки для душа,1.10012.10165.11449.11960
12045,Чехлы для планшетов,1.10020.10030.10487.12045
13421,Телескопы,1.10020.10150.13421
12379,Таймеры кухонные,1.10018.10115.11120.12379
10377,Тарелки и блюда,1.10018.10115.10377
13338,Ковры для кухни,1.10018.10049.11099.13338
12433,Ковры,1.10018.10049.11099.12433
11939,Фитнес браслеты,1.10020.10141.11939
12301,Кружки,1.10018.10115.10545.12301
11824,Микроскопы,1.10020.10150.11824
11540,"Налокотники, перчатки, носочки",1.10012.10070.11370.11540
12096,Измерители уровня сигнала,1.10020.10129.10908.12096
14220,Расчески и щетки,1.10012.10165.11449.14220
12875,Масла смазочные для шредеров,1.10020.10086.11138.12875
13159,Разветвители электрические,1.10020.10073.13159
13030,Переливные сифоны,1.10018.10115.11129.13030
14037,Внешние аккумуляторы,1.10020.10073.14037
10355,Инструменты для маникюра,1.10012.10113.10355
12520,Ноутбуки,1.10020.10030.12520
11881,Римские свечи и фонтаны,1.10018.10118.10749.11881
13675,Товары для наращённых волос,1.10012.10165.10317.13675
11027,Аппаратная косметология,1.10012.10094.11027
11721,Подушки и матрасы автомобильные,1.10018.10049.10770.11721
13043,Ретро-приставки,1.10020.10186.11140.13043
12755,Ремешки,1.10020.10141.12755
12119,Цифровые фоторамки,1.10020.10180.11254.12119
11617,Сувениры и подарки,1.10018.10191.11617
12178,Юбки под елку,1.10018.10118.10508.12178
11828,Наборы посуды,1.10018.10115.10289.11828
2734,Прищепки бельевые,1.10018.10110.12823.2734
13034,Воки,1.10018.10115.11390.13034
12884,Бирдекели,1.10018.10115.11097.12884
10770,Подушки,1.10018.10049.10770
12656,Декантеры,1.10018.10115.10922.12656
13505,Антенны для музыкальных центров,1.10020.10144.10571.13505
14125,Маски тканевые,1.10012.10137.10476.14125
12987,Формы для яичницы,1.10018.10115.10651.12987
13203,Маски,1.10012.10137.10476.13203
12669,Копилки,1.10018.10191.12669
13891,Бигуди,1.10012.10165.11449.13891
2728,Пакеты фасовочные,1.10018.10115.10282.2728
12076,Лопатки кондитерские,1.10018.10115.11092.12076
12049,Адаптеры и переходники,1.10020.10073.12049
13529,Диспенсеры для напитков,1.10018.10115.11097.13529
13603,Масла,1.10012.10137.10648.13603
12401,Оформление интерьера,1.10018.10191.12401
12304,Кофеварки и кофемолки,1.10018.10115.11519.12304
13855,Напольные весы,1.10012.10094.13855
2744,Крючки и держатели,1.10018.10110.12842.2744
11863,Маски и обертывание,1.10012.10070.10918.11863
11821,Охранное оборудование для дома и дачи,1.10020.10226.10915.11821
10626,Загар и защита от солнца,1.10012.10070.10626
13027,Заварочные чайники,1.10018.10115.11519.13027
2802,Кабели и зарядные устройства,1.10020.10141.2802
13581,Вилки,1.10018.10115.10622.13581
10749,Фейерверки и салюты,1.10018.10118.10749
12675,Наборы для фондю,1.10018.10115.11390.12675
13661,Чехлы для мебели,1.10018.10049.11376.13661
14140,Комплекты клавиатур и мышей,1.10020.10074.10526.14140
10705,Средства для очищения и ухода,1.10012.10165.10705
11204,Средства для душа и ванны,1.10012.10070.11204
12050,Кисти,1.10012.10113.10355.12050
10049,Текстиль,1.10018.10049
12086,Домофоны,1.10020.10226.10915.12086
10165,Уход за волосами,1.10012.10165
14123,Щипцы для завивки,1.10012.10094.11291.14123
12157,Геймпады,1.10020.10186.10695.12157
14103,Бокалы и фужеры,1.10018.10115.10545.14103
12851,Фотофоны,1.10020.10180.11254.12851
13007,Громкоговорители,1.10020.10144.10374.13007
11570,Стойки и крепления для HiFi,1.10020.10144.10571.11570
12977,Видеокарты и карты видеозахвата,1.10020.10074.10641.12977
12056,Цифро-аналоговые преобразователи,1.10020.10144.10571.12056
13828,Автомобильные навигаторы,1.10020.10176.13828
13497,Соль и камни для бани,1.10018.10184.13497
12686,Розетки и креманки,1.10018.10115.10289.12686
13887,Подставки для столовых приборов,1.10018.10115.10390.13887
13513,Автозагар,1.10012.10070.10626.13513
12736,Карандаши для губ,1.10012.10091.10696.12736
13344,Гели для душа,1.10012.10070.11204.13344
2894,Мебель,1.10018.2894
11714,Сетевые адаптеры и PoE-инжекторы,1.10020.10074.11350.11714
14379,Полки,1.10018.2894.14379
12982,Кремы для лица,1.10012.10169.10447.12982
12744,Шторы кисея,1.10018.10049.10262.12744
